Array size (n),Average runtime (ms) for 10 trials,Average runtime (ms) for 100 trials,Average runtime (ms) for 1000 trials,Average runtime (ms) for 10000 trials,
"10,000",0.5,0.09,0.084,0.067,
"9,500",0.4,0.13,0.077,0.0628,
"9,000",0.5,0.14,0.073,0.0599,
"8,500",0.5,0.07,0.062,0.0563,
"8,000",0.5,0.09,0.069,0.0519,
"7,500",0.4,0.1,0.044,0.0474,
"7,000",0.5,0.04,0.045,0.0456,
"6,500",0.5,0.09,0.047,0.0384,
"6,000",0.3,0.06,0.039,0.0342,
"5,500",0.4,0.06,0.034,0.0346,
"5,000",0,0.14,0.035,0.0266,
"4,500",0.2,0.1,0.034,0.0249,
"4,000",0.2,0.05,0.029,0.0234,
"3,500",0.2,0.07,0.024,0.0203,
"3,000",0.1,0.02,0.02,0.017,
"2,500",0.2,0.05,0.022,0.0148,
"2,000",0.2,0.06,0.013,0.0097,
"1,500",0.1,0.03,0.019,0.0084,
"1,000",0,0.03,0.005,0.0063,
500,0,0.01,0.007,0.0035,
100,0,0.01,0.002,0.0008,
